1 , 890 , 434
2 , 895 , 439
3 , 900 , 441
4 , 905 , 441
5 , 910 , 441
6 , 915 , 442
7 , 920 , 442
8 , 925 , 443
9 , 930 , 443
10 , 935 , 443
10 , 935 , 443
20 , 985 , 443
30 , 1035 , 444
40 , 1085 , 444
50 , 1135 , 444
60 , 1185 , 446
70 , 1235 , 446
80 , 1285 , 447
90 , 1335 , 447
100 , 1385 , 446
110 , 1435 , 448
120 , 1485 , 448
130 , 1535 , 449
140 , 1585 , 449
150 , 1635 , 448
160 , 1685 , 449
170 , 1735 , 450
180 , 1785 , 450
190 , 1835 , 450
200 , 1885 , 450
210 , 1935 , 449
220 , 1985 , 451
230 , 2035 , 451
240 , 2085 , 451
250 , 2135 , 451
260 , 2185 , 452
270 , 2235 , 455
280 , 2285 , 455
290 , 2335 , 456
300 , 2385 , 455
310 , 2435 , 455
320 , 2485 , 457
330 , 2535 , 457
340 , 2585 , 457
350 , 2635 , 457
360 , 2685 , 457
370 , 2735 , 458
380 , 2785 , 458
390 , 2835 , 459
400 , 2885 , 459
410 , 2935 , 458
420 , 2985 , 459
430 , 3035 , 459
440 , 3085 , 460
450 , 3135 , 460
460 , 3185 , 459
470 , 3235 , 459
480 , 3285 , 460
490 , 3335 , 461
500 , 3385 , 461
510 , 3435 , 461
520 , 3485 , 460
530 , 3535 , 461
540 , 3585 , 462
550 , 3635 , 462
560 , 3685 , 462
570 , 3735 , 461
580 , 3785 , 463
590 , 3835 , 463
600 , 3885 , 463
610 , 3935 , 463
620 , 3985 , 462
630 , 4035 , 464
640 , 4085 , 464
650 , 4135 , 464
660 , 4185 , 464
670 , 4235 , 464
680 , 4285 , 465
690 , 4335 , 465
700 , 4385 , 466
710 , 4435 , 465
720 , 4485 , 465
730 , 4535 , 466
740 , 4585 , 466
750 , 4635 , 466
760 , 4685 , 466
770 , 4735 , 466
780 , 4785 , 466
790 , 4835 , 467
800 , 4885 , 467
810 , 4935 , 467
820 , 4985 , 467
830 , 5035 , 466
840 , 5085 , 468
850 , 5135 , 468
860 , 5185 , 469
870 , 5235 , 468
880 , 5285 , 467
890 , 5335 , 469
900 , 5385 , 469
910 , 5435 , 470
920 , 5485 , 469
930 , 5535 , 469
940 , 5585 , 470
950 , 5635 , 470
960 , 5685 , 470
970 , 5735 , 470
980 , 5785 , 470
990 , 5835 , 471
1000 , 5885 , 471
